1060,884.783,-3.72214
-0.352488,-0.935816,0.00043254
0.935632,-0.35241,0.0200097
-0.0185729,0.00745787,0.9998
0,-0.19,4.53,-2.12
1,-1.12,9.44,-0.16
2,-0.2,9.5,-0.27
3,-0.56,7.41,-2.08
4,-0.2,10.26,-2.05
5,-0.65,9.47,0
6,0.26,9.61,-0.11
7,-0.75,11.19,-1.74
8,-0.2,10.91,-1.39
9,-1.12,9.47,0.04
10,-0.19,9.53,-0.05
11,-0.75,11.18,-1.2
12,0.27,10,-0.93
13,-0.66,9.59,0.21
14,0.26,9.57,0.1
15,-0.67,9.58,-0.67
16,-0.2,9.61,-0.78
17,-1.12,9.55,0.26
18,-0.19,9.52,0.15
19,-1.13,9.53,-0.61
20,0.25,9.58,-0.55
21,-0.89,14.16,0.81
22,-0.2,14.21,0.56
23,-0.66,9.55,-0.44
24,-0.2,9.52,-0.49
25,-0.89,14.16,1.73
26,-0.2,14.19,1.14
27,-1.13,9.53,-0.39
28,-0.89,14.18,3.79
29,-0.2,14.2,2.58
30,-0.66,9.47,-0.22
31,-0.18,4.53,-2.12
32,-1.09,9.45,-0.16
33,-0.17,9.54,-0.27
34,-0.53,7.45,-2.09
35,-0.17,10.28,-2.05
36,-0.62,9.46,0
37,0.28,9.55,-0.11
38,-0.71,11.19,-1.74
39,-0.17,11.16,-1.42
40,-1.08,9.46,0.04
41,-0.17,9.51,-0.05
42,-0.71,11.17,-1.2
43,0.3,9.99,-0.93
44,-0.63,9.62,0.21
45,0.29,9.57,0.1
46,-0.63,9.56,-0.67
47,-0.17,11.2,-0.91
48,-1.1,9.65,0.27
49,-0.17,9.53,0.15
50,-1.1,9.53,-0.61
51,0.29,9.65,-0.56
52,-0.84,14.16,0.81
53,-0.16,14.22,0.56
54,-0.63,9.52,-0.44
55,-0.17,9.62,-0.5
56,-0.84,14.17,1.73
57,-0.16,14.2,1.15
58,-1.1,9.57,-0.39
59,0.28,9.56,-0.33
60,-0.85,14.2,3.8
61,-0.16,14.2,2.58
62,-0.63,9.5,-0.22
63,-0.16,4.54,-2.12
64,-1.06,9.46,-0.16
65,-0.14,9.54,-0.27
66,-0.51,7.44,-2.08
67,-0.14,10.3,-2.06
68,-0.58,9.45,0
69,0.31,9.49,-0.11
70,-0.67,11.14,-1.73
71,-0.13,11.22,-1.42
72,-1.05,9.43,0.04
73,-0.13,9.5,-0.05
74,-0.67,11.16,-1.2
75,0.41,11.24,-1.05
76,-0.59,9.57,0.21
77,0.33,9.54,0.1
78,-0.6,9.52,-0.66
79,-1.06,9.61,0.27
80,-0.13,9.57,0.15
81,-1.07,9.52,-0.61
82,0.32,9.63,-0.56
83,-0.79,14.17,0.81
84,-0.11,14.22,0.56
85,-0.6,9.52,-0.44
86,-0.14,9.53,-0.5
87,-0.79,14.16,1.73
88,-0.11,14.2,1.15
89,-1.07,9.52,-0.38
90,0.32,9.58,-0.33
91,-0.52,8.01,2.14
92,-0.11,14.21,2.58
93,-0.6,9.46,-0.22
94,-0.15,4.53,-2.12
95,-1.03,9.44,-0.16
96,-0.11,9.5,-0.27
97,-0.48,7.41,-2.07
98,-0.1,10.31,-2.06
99,-0.55,9.46,0
100,0.35,9.53,-0.11
101,-0.63,11.16,-1.74
102,-0.09,11.21,-1.42
103,-1.02,9.45,0.04
104,-0.1,9.5,-0.05
105,-0.63,11.16,-1.2
106,0.37,9.9,-0.92
107,-0.56,9.59,0.21
108,0.36,9.55,0.1
109,-0.56,9.48,-0.66
110,-0.11,9.6,-0.78
111,-1.03,9.61,0.27
112,-0.1,9.61,0.15
113,-1.03,9.52,-0.61
114,0.35,9.63,-0.56
115,-0.74,14.17,0.81
116,-0.06,14.22,0.56
117,-0.57,9.54,-0.44
118,-0.11,9.52,-0.49
119,-0.74,14.17,1.73
120,-0.06,14.21,1.15
121,-1.03,9.52,-0.38
122,0.35,9.59,-0.33
123,-0.75,14.21,3.8
124,-0.06,14.21,2.58
125,-0.56,9.43,-0.21
126,-0.13,4.53,-2.12
127,-0.99,9.4,-0.16
128,-0.07,9.54,-0.27
129,-0.45,7.41,-2.08
130,-0.07,10.32,-2.06
131,-0.52,9.48,0
132,0.4,9.58,-0.11
133,-0.59,11.16,-1.74
134,-0.06,11.21,-1.42
135,-0.98,9.41,0.04
136,-0.07,9.52,-0.05
137,-0.59,11.16,-1.2
138,0.4,9.8,-0.91
139,-0.52,9.57,0.21
140,0.39,9.55,0.1
141,-0.53,9.57,-0.67
142,-0.07,9.66,-0.79
143,-1,9.63,0.27
144,-0.06,9.59,0.15
145,-1,9.56,-0.61
146,0.4,9.89,-0.57
147,-0.69,14.17,0.81
148,-0.01,14.27,0.57
149,-0.53,9.46,-0.44
150,-0.07,9.54,-0.5
151,-0.7,14.17,1.73
152,-0.01,14.14,1.14
153,-1,9.52,-0.38
154,0.39,9.59,-0.33
155,-0.7,14.23,3.81
156,-0.01,14.15,2.57
157,-0.53,9.48,-0.22
158,-0.12,4.53,-2.12
159,-0.96,9.42,-0.16
160,-0.04,9.55,-0.27
161,-0.43,7.43,-2.08
162,-0.03,10.31,-2.06
163,-0.49,9.53,0
164,0.42,9.54,-0.11
165,-0.55,11.16,-1.74
166,-0.01,11.21,-1.42
167,-0.95,9.45,0.04
168,-0.03,9.53,-0.05
169,-0.55,11.16,-1.2
170,0.43,9.73,-0.91
171,-0.49,9.58,0.21
172,0.43,9.54,0.1
173,-0.55,11.16,-0.78
174,-0.04,9.66,-0.78
175,-0.96,9.62,0.27
176,-0.03,9.57,0.15
177,-0.97,9.54,-0.61
178,0.43,9.7,-0.56
179,-0.64,14.17,0.81
180,0.03,14.16,0.56
181,-0.5,9.55,-0.44
182,-0.04,9.58,-0.5
183,-0.64,14.17,1.73
184,0.03,14.13,1.14
